Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Harrisburg International Airport,"Harrisburg, PA",0,MDT,40.1935005188,-76.7633972168,700,1
Charlotte Douglas International Airport,"Charlotte, NC",109,CLT,35.2140007019043,-80.94309997558594,701,0
Chicago Midway International Airport,"Chicago, IL",0,MDW,41.7859992980957,-87.75240325927734,701,1
Charlotte Douglas International Airport,"Charlotte, NC",210,CLT,35.2140007019043,-80.94309997558594,702,0
Memphis International Airport,"Memphis, TN",0,MEM,35.04240036010742,-89.97669982910156,702,1
Charlotte Douglas International Airport,"Charlotte, NC",460,CLT,35.2140007019043,-80.94309997558594,703,0
Miami International Airport,"Miami, FL",0,MIA,25.79319953918457,-80.29060363769531,703,1
Charlotte Douglas International Airport,"Charlotte, NC",406,CLT,35.2140007019043,-80.94309997558594,704,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,704,1
Charlotte Douglas International Airport,"Charlotte, NC",250,CLT,35.2140007019043,-80.94309997558594,705,0
Louis Armstrong New Orleans International Airport,"New Orleans, LA",0,MSY,29.99340057373047,-90.25800323486328,705,1
Charlotte Douglas International Airport,"Charlotte, NC",665,CLT,35.2140007019043,-80.94309997558594,706,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,706,1
Charlotte Douglas International Airport,"Charlotte, NC",189,CLT,35.2140007019043,-80.94309997558594,707,0
Norfolk International Airport,"Norfolk, VA",0,ORF,36.89459991455078,-76.20120239257812,707,1
Charlotte Douglas International Airport,"Charlotte, NC",331,CLT,35.2140007019043,-80.94309997558594,708,0
Palm Beach International Airport,"West Palm Beach/Palm Beach, FL",0,PBI,26.68320083618164,-80.09559631347656,708,1
Charlotte Douglas International Airport,"Charlotte, NC",48,CLT,35.2140007019043,-80.94309997558594,709,0
Portland International Airport,"Portland, OR",0,PDX,45.58869934,-122.59799960000001,709,1
Charlotte Douglas International Airport,"Charlotte, NC",542,CLT,35.2140007019043,-80.94309997558594,710,0
Philadelphia International Airport,"Philadelphia, PA",0,PHL,39.87189865112305,-75.24109649658203,710,1
Charlotte Douglas International Airport,"Charlotte, NC",476,CLT,35.2140007019043,-80.94309997558594,711,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,711,1
Charlotte Douglas International Airport,"Charlotte, NC",356,CLT,35.2140007019043,-80.94309997558594,712,0
Pittsburgh International Airport,"Pittsburgh, PA",0,PIT,40.49150085,-80.23290253,712,1
Charlotte Douglas International Airport,"Charlotte, NC",203,CLT,35.2140007019043,-80.94309997558594,713,0
Theodore Francis Green State Airport,"Providence, RI",0,PVD,41.73260116577149,-71.42040252685547,713,1
Charlotte Douglas International Airport,"Charlotte, NC",118,CLT,35.2140007019043,-80.94309997558594,714,0
Portland International Jetport Airport,"Portland, ME",0,PWM,43.64619827,-70.30930328,714,1
Charlotte Douglas International Airport,"Charlotte, NC",443,CLT,35.2140007019043,-80.94309997558594,715,0
Raleigh Durham International Airport,"Raleigh/Durham, NC",0,RDU,35.877601623535156,-78.7874984741211,715,1
Charlotte Douglas International Airport,"Charlotte, NC",246,CLT,35.2140007019043,-80.94309997558594,716,0
Richmond International Airport,"Richmond, VA",0,RIC,37.50519943237305,-77.3197021484375,716,1
Charlotte Douglas International Airport,"Charlotte, NC",110,CLT,35.2140007019043,-80.94309997558594,717,0
Greater Rochester International Airport,"Rochester, NY",0,ROC,43.118900299072266,-77.67240142822266,717,1
Charlotte Douglas International Airport,"Charlotte, NC",278,CLT,35.2140007019043,-80.94309997558594,718,0
Southwest Florida International Airport,"Fort Myers, FL",0,RSW,26.53619956970215,-81.75520324707031,718,1
Charlotte Douglas International Airport,"Charlotte, NC",119,CLT,35.2140007019043,-80.94309997558594,719,0
San Diego International Airport,"San Diego, CA",0,SAN,32.7336006165,-117.190002441,719,1
Charlotte Douglas International Airport,"Charlotte, NC",157,CLT,35.2140007019043,-80.94309997558594,720,0
San Antonio International Airport,"San Antonio, TX",0,SAT,29.533700942993164,-98.46980285644531,720,1
Charlotte Douglas International Airport,"Charlotte, NC",116,CLT,35.2140007019043,-80.94309997558594,721,0
Seattle Tacoma International Airport,"Seattle, WA",0,SEA,47.44900131225586,-122.30899810791016,721,1
Charlotte Douglas International Airport,"Charlotte, NC",280,CLT,35.2140007019043,-80.94309997558594,722,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,722,1
Charlotte Douglas International Airport,"Charlotte, NC",166,CLT,35.2140007019043,-80.94309997558594,723,0
Luis Munoz Marin International Airport,"San Juan, PR",0,SJU,18.4393997192,-66.0018005371,723,1
